id,ident,name,position,polygon
1,AGGG,HONIARA FIR,,
2,ANAU,NAURU FIR,,
3,AYPM,PORT MORESBY FIR,,
4,BGGL,SONDRESTROM FIR,,
5,BIRD,REYKJAVIK FIR,,
6,CZEG,EDMONTON FLIGHT INFORMATION REGION,,
7,CZQM,MONCTON FLIGHT INFORMATION REGION,,
8,CZQX,GANDER FLIGHT INFORMATION REGION,,
9,CZUL,MONTREAL FLIGHT INFORMATION REGION,,
10,CZVR,VANCOUVER FLIGHT INFORMATION REGION,,
11,CZWG,WINNIPEG FLIGHT INFORMATION REGION,,
12,CZYZ,TORONTO FLIGHT INFORMATION REGION,,
13,DAAA,ALGER FIR,,
14,DGAC,ACCRA FIR,,
15,DNKK,KANO FIR,,
16,DRRR,NIAMEY FIR,,
17,DTTC,TUNIS FIR,,
18,EBBU,BRUSSELS FIR,,
19,EDGG,LANGEN FIR,,
20,EDMM,MUNICH FIR,,
21,EDWW,BREMEN FIR,,
22,EETT,TALLINN FIR,,
23,EFIN,FINLAND FIR,,
24,EGGX,SHANWICK FIR,,
25,EGPX,SCOTTISH FIR,,
26,EGTT,LONDON FIR,,
27,EHAA,AMSTERDAM FIR,,
28,EISN,SHANNON FIR,,
29,EKDK,KOEBENHAVN FIR,,
30,ENOB,BODO OCEANIC FIR,,
31,ENOR,NORWAY FIR,,
32,EPWW,WARSZAWA FIR,,
33,ESAA,SWEDEN FIR,,
34,EVRR,RIGA FIR,,
35,EYVL,VILNIUS FIR,,
36,FACA,CAPE TOWN FIR,,
37,FAJA,JOHANNESBURG FIR,,
38,FAJO,JOHANNESBURG OCEANIC FIR,,
39,FBGR,GABORONE FIR,,
40,FCCC,BRAZZAVILLE FIR,,
41,FIMM,MAURITIUS FIR,,
42,FLFI,LUSAKA FIR,,
43,FMMM,ANTANANARIVO FIR,,
44,FNAN,LUANDA FIR,,
45,FQBE,BEIRA FIR,,
46,FSSS,SEYCHELLES FIR,,
47,FTTT,N'DJAMENA FIR,,
48,FVHF,HARARE FIR,,
49,FWLL,LILONGWE FIR,,
50,FYWH,WINDHOEK FIR,,
51,FZZA,KINSHASA FIR,,
52,GCCC,CANARIAS FIR,,
53,GLRB,ROBERTS FIR,,
54,GMMM,CASABLANCA FIR,,
55,GOOO,DAKAR FIR,,
56,GVSC,SAL OCEANIC FIR,,
57,HAAA,ADDIS ABEBA FIR,,
58,HBBA,BUJUMBURA FIR,,
59,HCSM,MOGADISHU FIR/UIR,,
60,HECC,CAIRO FIR,,
61,HHAA,ASMARA FIR,,
62,HKNA,NAIROBI FIR,,
63,HLLL,TRIPOLI FIR,,
64,HRYR,KIGALI FIR,,
65,HSSS,KHARTOUM FIR,,
66,HTDC,DAR-ES-SALAAM FIR,,
67,HUEC,ENTEBBE FIR,,
68,KZAB,ALBUQUERQUE,,
69,KZAK,OAKLAND OCEANIC FIR,,
70,KZAU,CHICAGO,,
71,KZBW,BOSTON,,
72,KZDC,WASHINGTON,,
73,KZDV,DENVER,,
74,KZFW,FT WORTH,,
75,KZHU,HOUSTON FIR / UIR,,
76,KZID,INDIANAPOLIS,,
77,KZJX,JACKSONVILLE,,
78,KZKC,KANSAS CITY,,
79,KZLA,LOS ANGELES,,
80,KZLC,SALT LAKE CITY,,
81,KZMA,MIAMI FIR / UIR,,
82,KZME,MEMPHIS,,
83,KZMP,MINNEAPOLIS,,
84,KZNY,NEW YORK FIR,,
85,KZOA,OAKLAND (INLAND AND OCEANIC) FIR,,
86,KZOB,CLEVELAND,,
87,KZSE,SEATTLE,,
88,KZTL,ATLANTA,,
89,KZWY,NEW YORK OCEANIC FIR,,
90,LAAA,TIRANA FIR,,
91,LBSR,FIR SOFIA,,
92,LCCC,NICOSIA FIR,,
93,LDZO,ZAGREB FIR/UIR,,
94,LECB,BARCELONA FIR,,
95,LECM,MADRID FIR,,
96,LFBB,BORDEAUX FIR,,
97,LFEE,REIMS FIR,,
98,LFFF,PARIS FIR,,
99,LFMM,MARSEILLE FIR,,
100,LFRR,BREST FIR,,
101,LGGG,ATHINAI FIR,,
102,LHCC,BUDAPEST FIR,,
103,LIBB,BRINDISI FIR,,
